"alpha","eta","delta","compatible","minimum_canonical_coordinate","negative_coordinate_count","observable_witness_bits","conditional_entropy_y_given_t_c_bits","sharp_lower_bits","sharp_upper_bits","lower_minus_witness_bits","sharp_lower_boot_median","sharp_upper_boot_median","compatible_boot_replicates"
0.01,0.0025,0.05,FALSE,-0.0238217547825956,28,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.0025,0.05,FALSE,-0.0239573148538016,37,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.0025,0.05,FALSE,-0.0244001444197409,40,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.005,0.05,FALSE,-0.0238481211728635,25,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.005,0.05,FALSE,-0.0238803545562665,26,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.005,0.05,FALSE,-0.0239129135294008,27,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.005,0.05,FALSE,-0.0239790281789287,29,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.005,0.05,FALSE,-0.0241153896435801,37,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.005,0.05,FALSE,-0.0245608370947744,40,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.01,0.05,FALSE,-0.0241709107937786,27,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.01,0.05,FALSE,-0.0242035348866895,28,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.01,0.05,FALSE,-0.0242364885158924,29,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.01,0.05,FALSE,-0.0243034045588658,31,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.01,0.05,FALSE,-0.0244414188974983,38,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.01,0.05,FALSE,-0.0248922657370312,41,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
