"alpha","eta","delta","compatible","minimum_canonical_coordinate","bootstrap_compatibility_fraction","minimum_coordinate_ci_lower","minimum_coordinate_ci_upper","compatibility_inference"
0.05,0.0025,0.02,FALSE,-0.00634113732020522,0,-0.00881680713395681,4.6906030520006e-06,"indeterminate"
0,0.005,0.02,FALSE,-0.000431484407491245,0.118,-0.00147236256178641,0.00168522588946061,"indeterminate"
0.0025,0.005,0.02,FALSE,-0.000577349611374765,0.087,-0.00158864714426191,0.0015606414140195,"indeterminate"
0.005,0.005,0.02,FALSE,-0.000725436112779354,0.059,-0.00173694372976824,0.00142746639330947,"indeterminate"
0.01,0.005,0.02,FALSE,-0.00102847910792174,0.03,-0.00208730994008437,0.00120418208934423,"indeterminate"
0.02,0.005,0.02,FALSE,-0.00166357985306055,0.004,-0.00273248051591619,0.00113633686383385,"indeterminate"
0.05,0.005,0.02,FALSE,-0.00637067531630438,0,-0.00884541300902221,-2.05751292539115e-06,"rejected"
0,0.01,0.02,FALSE,-0.000478032647319218,0.106,-0.00151331629330717,0.00164874872318029,"indeterminate"
0.0025,0.01,0.02,FALSE,-0.000622297387620947,0.078,-0.0016299009021223,0.00151930629923502,"indeterminate"
0.005,0.01,0.02,FALSE,-0.00076875905290189,0.05,-0.00178252950816435,0.0013846746600603,"indeterminate"
0.01,0.01,0.02,FALSE,-0.00106847699680155,0.022,-0.00212155614560897,0.00116591143059179,"indeterminate"
0.02,0.01,0.02,FALSE,-0.00169660928348489,0.003,-0.00276412154154961,0.00115887688486777,"indeterminate"
0.05,0.01,0.02,FALSE,-0.00643112162790937,0,-0.00890925077253507,-1.63945113892377e-05,"rejected"
0,0.02,0.02,FALSE,-0.000575585873341673,0.082,-0.00160006814621472,0.00157035866249332,"indeterminate"
0.0025,0.02,0.02,FALSE,-0.000716496450604966,0.055,-0.00172441960736211,0.00143399320483765,"indeterminate"
0.005,0.02,0.02,FALSE,-0.000859552874222524,0.038,-0.00185983436344735,0.00131171139904477,"indeterminate"
0.01,0.02,0.02,FALSE,-0.0011523023596667,0.021,-0.00216537906126279,0.00108985177585038,"indeterminate"
0.02,0.02,0.02,FALSE,-0.00180143752597588,0.002,-0.00288801355188653,0.00107867085909062,"indeterminate"
0.05,0.02,0.02,FALSE,-0.0065578016639326,0,-0.0090340928747031,-4.69044467712437e-05,"rejected"
0,0.05,0.02,FALSE,-0.000909562211842076,0.04,-0.00197048074211061,0.00138717785177088,"indeterminate"
0.0025,0.05,0.02,FALSE,-0.00103898971329143,0.026,-0.00208358057898512,0.00127573596079186,"indeterminate"
0.005,0.05,0.02,FALSE,-0.00117038819192022,0.018,-0.00220576769082195,0.00119016036045551,"indeterminate"
0.01,0.05,0.02,FALSE,-0.00143928095488738,0.008,-0.00245648041689852,0.0009864939332721,"indeterminate"
0.02,0.05,0.02,FALSE,-0.00221179239129321,0,-0.00337332817418977,0.000762104122271629,"indeterminate"
0.05,0.05,0.02,FALSE,-0.00699149449314152,0,-0.0096363332989017,-0.000151356107902565,"rejected"
0,0,0.05,FALSE,-0.00566399412153838,0,-0.0083924925246156,-0.000178953600670332,"rejected"
0.0025,0,0.05,FALSE,-0.00587614880896749,0,-0.00859623623403201,-0.000354255822901446,"rejected"
0.005,0,0.05,FALSE,-0.00609153427843867,0,-0.00877560337944212,-0.000583304955930525,"rejected"
0.01,0,0.05,FALSE,-0.00653229732678947,0,-0.00926101523840592,-0.00107105134638554,"rejected"
0.02,0,0.05,FALSE,-0.00745602414088638,0,-0.0103653606453315,-0.00203447576347108,"rejected"
0.05,0,0.05,FALSE,-0.0106184300573829,0,-0.0133526434135912,-0.0048762154228962,"rejected"
0,0.0025,0.05,FALSE,-0.00568926340601944,0,-0.00842783762434937,-0.000168542482842701,"rejected"
0.0025,0.0025,0.05,FALSE,-0.00590167398152414,0,-0.00862086103652915,-0.000343737489676726,"rejected"
0.005,0.0025,0.05,FALSE,-0.00611731923584363,0,-0.00880537737047126,-0.000572577407367674,"rejected"
0.01,0.0025,0.05,FALSE,-0.00655861390576548,0,-0.00930131217546886,-0.00106026999950925,"rejected"
0.02,0.0025,0.05,FALSE,-0.00748345486294212,0,-0.0104112582585877,-0.00202770057863469,"rejected"
0.05,0.0025,0.05,FALSE,-0.010649675081041,0,-0.0133961242359774,-0.00487843178273959,"rejected"
0,0.005,0.05,FALSE,-0.0057149175019393,0,-0.00846336483008763,-0.000157972820073521,"rejected"
0.0025,0.005,0.05,FALSE,-0.00592758786229232,0,-0.00864917719682296,-0.000333058978788678,"rejected"
0.005,0.005,0.05,FALSE,-0.00614349685757457,0,-0.00883583328737436,-0.000561686495121129,"rejected"
0.01,0.005,0.05,FALSE,-0.00658533124482742,0,-0.00933463230724531,-0.00104932446968561,"rejected"
0.02,0.005,0.05,FALSE,-0.00751130331172968,0,-0.0104577383649568,-0.00203037036301523,"rejected"
0.05,0.005,0.05,FALSE,-0.0106813959172421,0,-0.013440267202867,-0.0048868448121329,"rejected"
0,0.01,0.05,FALSE,-0.00576741583224953,0,-0.00853556500432684,-0.000136343149355162,"rejected"
