"replicate","witness_bits"
790,0.0150958757460801
791,0.0275895254999649
792,0.0250638562781885
793,0.0176224658822835
794,0.0220601603586365
795,0.0158205484629403
796,0.0147583122468533
797,0.0238224738993359
798,0.0184341154062473
799,0.0135036808776234
800,0.0323287449686463
801,0.0254667052905355
802,0.0224746274222127
803,0.0150834575075172
804,0.0140823689330108
805,0.0229698648913743
806,0.0250754372243707
807,0.0108250751325939
808,0.0310037817107883
809,0.022208451545074
810,0.0232821419656574
811,0.025003621852843
812,0.0224840393402081
813,0.0232132607142387
814,0.0250076083851778
815,0.0106021191363441
816,0.0173773987500309
817,0.0266909672104704
818,0.0178411647364814
819,0.0232895706577056
820,0.026624101417482
821,0.0199865216524975
822,0.0113215833516853
823,0.0213633862494113
824,0.0180600279565805
825,0.0217172340757381
826,0.013265654027335
827,0.0140415056312329
828,0.0140967794260907
829,0.0181490822676049
830,0.0129716551806447
831,0.01535650817434
832,0.0165958064120551
833,0.0205366914323634
834,0.0230540744723656
835,0.0207661275220258
836,0.0200566146999886
837,0.0187116493346828
838,0.0129219529196791
839,0.0235717909807775
840,0.0223877045965391
841,0.0122233976487576
842,0.0260472021781264
843,0.0236783985018469
844,0.0199857036497907
845,0.0131808658780604
846,0.018978313487072
847,0.0185036407093771
848,0.010422257634488
849,0.0292418148811114
850,0.0248253522222516
851,0.0147458192969929
852,0.0171660306003108
853,0.0159630303797032
854,0.0158599558989833
855,0.0355933784658621
856,0.013691693994717
857,0.0143489091804947
858,0.0186049682003421
859,0.012417561546026
860,0.0205091494822
861,0.0107587108318045
862,0.0200475725327616
863,0.0177296303800002
864,0.0147261097071833
865,0.0396904851838645
866,0.0307994033934686
867,0.0157025235301264
868,0.027784640886694
869,0.0158517423122409
870,0.033750490250622
871,0.0132122775644423
872,0.0154147419882804
873,0.0100006392900477
874,0.0153420299254768
875,0.0177580097591738
876,0.0122041230454396
877,0.027914201059773
878,0.0105635444672558
879,0.0147058694881654
880,0.0120296465884287
881,0.0199179839285072
882,0.0140659014249327
883,0.0247263497179419
884,0.012972844468803
885,0.021650738150284
886,0.0131525339343226
887,0.015750705736132
888,0.0157204270078459
889,0.0104708737849102
890,0.0179837954543122
891,0.0149170293977681
892,0.0245802991477078
893,0.0161670784429432
894,0.0144476682479611
895,0.0190119898316148
896,0.0197303905854439
897,0.0190425237384725
898,0.021102499901493
899,0.00924882371012339
900,0.025631864630262
901,0.0105834730248712
902,0.0190207308407694
903,0.0154468882567607
904,0.012794735472633
905,0.0201517937914402
906,0.0167770744680754
907,0.013576442308502
908,0.021381337567232
909,0.0400479709902328
910,0.0342349880470928
911,0.00945528682318933
912,0.0227006270512691
913,0.019840413367639
914,0.0179489662306231
915,0.0233094777665465
916,0.0198944079048296
917,0.0187303166256411
918,0.0108535592359533
919,0.0187364972525445
920,0.0238855334210973
921,0.0136495873272832
922,0.022570201481708
923,0.0122989062283021
924,0.0191864604835735
925,0.0279318802821014
926,0.0168323039800595
927,0.0262005747658865
928,0.015895018442367
929,0.0171570010970395
930,0.0238163131829019
931,0.0117065507161244
932,0.0243365220936553
933,0.013406853063185
934,0.0112170210659723
935,0.0197839642992818
936,0.0198445905240622
937,0.0264783382237445
938,0.0211973435221846
939,0.020674470677317
940,0.0121957214199211
941,0.0195765558135184
942,0.0165230361912867
943,0.0157605531144557
944,0.01860490895588
945,0.0288866999337323
946,0.0159363128339157
947,0.0151801189272066
948,0.0181618692576772
949,0.0149618512212469
950,0.0180169886316261
951,0.0279185634014857
952,0.0250396314260772
953,0.0195158192797272
954,0.0266261520627835
955,0.0128944164653244
956,0.0178554315231098
957,0.00941082924124749
958,0.0211623966841024
959,0.026142069105861
960,0.0210862118021374
961,0.0349859322990432
962,0.0318460110245044
963,0.0188870871861687
964,0.0313577234145005
965,0.0247095700025592
966,0.0149680422162387
967,0.0183009065964044
968,0.021875234573866
969,0.0255341694839327
970,0.0214358728114559
971,0.0202130945142917
972,0.013737975302492
973,0.0171251585689713
974,0.0377355148846867
975,0.0124952451047629
976,0.0199999324310816
977,0.0189853631170212
978,0.0162174652905464
979,0.0295587565360816
980,0.0153852496266762
981,0.016206610280698
982,0.0359981442090416
983,0.0308047568368706
984,0.0238442302366218
985,0.0140918350230454
986,0.017818028041129
987,0.0151756636986544
988,0.0305943816938824
989,0.0251933276354686
990,0.0173064079437756
991,0.0149658121171941
992,0.0133604502651902
993,0.0247135382316103
994,0.019520835966116
995,0.0172122034225113
996,0.0321128708802699
997,0.0236596947849552
998,0.0305569415665369
999,0.0305801179839863
1000,0.0175833161886107
