"alpha","eta","delta","compatible","minimum_canonical_coordinate","bootstrap_compatibility_fraction","minimum_coordinate_ci_lower","minimum_coordinate_ci_upper","compatibility_inference","design_id"
0.0025,0.05,0.01,TRUE,0.000169972363286871,0.559,-0.000419543953245057,0.00133663812811756,"indeterminate","C1_M2_T4"
0.005,0.05,0.01,TRUE,1.92906837831104e-05,0.471,-0.000637637501422947,0.00117975524180938,"indeterminate","C1_M2_T4"
0.01,0.05,0.01,FALSE,-0.000286685379699015,0.235,-0.00102038290231611,0.000863511221342062,"indeterminate","C1_M2_T4"
0.02,0.05,0.01,FALSE,-0.00094884187447621,0.005,-0.00162610089443186,0.000268820915139872,"indeterminate","C1_M2_T4"
0.05,0.05,0.01,FALSE,-0.00714729716282204,0,-0.0090839091272252,-0.0050331033313665,"rejected","C1_M2_T4"
0,0,0.02,FALSE,-0.000173880173254703,0.335,-0.000918451970795798,0.000519490213915491,"indeterminate","C1_M2_T4"
0.0025,0,0.02,FALSE,-0.000187555568734163,0.327,-0.000925764588393669,0.000508988749226129,"indeterminate","C1_M2_T4"
0.005,0,0.02,FALSE,-0.000201369099521496,0.315,-0.000936286641332173,0.000501582027674345,"indeterminate","C1_M2_T4"
0.01,0,0.02,FALSE,-0.000229419024283529,0.277,-0.000903587041984308,0.000480564806602471,"indeterminate","C1_M2_T4"
0.02,0,0.02,FALSE,-0.000479802457276903,0.025,-0.000957031383470725,0.000505417544251222,"indeterminate","C1_M2_T4"
0.05,0,0.02,FALSE,-0.0054978219690015,0,-0.00686100033306671,-0.00347187672418936,"rejected","C1_M2_T4"
0,0.0025,0.02,FALSE,-0.000178577463772301,0.332,-0.000922667120119233,0.000513676453452028,"indeterminate","C1_M2_T4"
0.0025,0.0025,0.02,FALSE,-0.000191972277723913,0.324,-0.000928676029179025,0.00050438170503118,"indeterminate","C1_M2_T4"
0.005,0.0025,0.02,FALSE,-0.000205502392826551,0.314,-0.000939402510283716,0.000496346691335323,"indeterminate","C1_M2_T4"
0.01,0.0025,0.02,FALSE,-0.000232976810228847,0.268,-0.000902975989483784,0.0004771334443888,"indeterminate","C1_M2_T4"
0.02,0.0025,0.02,FALSE,-0.000502968596564514,0.024,-0.000983942474586352,0.000484432248910218,"indeterminate","C1_M2_T4"
0.05,0.0025,0.02,FALSE,-0.00557838030157181,0,-0.00696251633990452,-0.0035491297361166,"rejected","C1_M2_T4"
0,0.005,0.02,FALSE,-0.000183322201668865,0.329,-0.000926924846708559,0.000507803968135399,"indeterminate","C1_M2_T4"
0.0025,0.005,0.02,FALSE,-0.000196433599935781,0.321,-0.000930108782353016,0.000499427627332832,"indeterminate","C1_M2_T4"
0.005,0.005,0.02,FALSE,-0.000209677436569031,0.312,-0.000942006477543698,0.000491058472811059,"indeterminate","C1_M2_T4"
0.01,0.005,0.02,FALSE,-0.000236570533405934,0.262,-0.00089657699731311,0.00047366742195075,"indeterminate","C1_M2_T4"
0.02,0.005,0.02,FALSE,-0.000526368737259071,0.023,-0.00101493144483627,0.000463244447181409,"indeterminate","C1_M2_T4"
0.05,0.005,0.02,FALSE,-0.00565975235467314,0,-0.00708605620825096,-0.00362289043510615,"rejected","C1_M2_T4"
0,0.01,0.02,FALSE,-0.000192956924540459,0.323,-0.000926096712889226,0.000495879227543467,"indeterminate","C1_M2_T4"
0.0025,0.01,0.02,FALSE,-0.000205492815447637,0.314,-0.000936840358823874,0.000489203781294068,"indeterminate","C1_M2_T4"
0.005,0.01,0.02,FALSE,-0.000218155331515495,0.303,-0.000946923188909083,0.000480522955870115,"indeterminate","C1_M2_T4"
0.01,0.01,0.02,FALSE,-0.000243867991694103,0.243,-0.000865963823200884,0.000464432215294739,"indeterminate","C1_M2_T4"
0.02,0.01,0.02,FALSE,-0.000573885349485773,0.017,-0.0010780936444908,0.000424856850690745,"indeterminate","C1_M2_T4"
0.05,0.01,0.02,FALSE,-0.00582498744209318,0,-0.00732582368276163,-0.00377790827328992,"rejected","C1_M2_T4"
0,0.02,0.02,FALSE,-0.00021282854046312,0.305,-0.000936317383781739,0.000473268947324835,"indeterminate","C1_M2_T4"
0.0025,0.02,0.02,FALSE,-0.00022417744744084,0.285,-0.000933038851159071,0.000469056486712803,"indeterminate","C1_M2_T4"
0.005,0.02,0.02,FALSE,-0.000235640989842577,0.261,-0.00092580327472831,0.000462284899478697,"indeterminate","C1_M2_T4"
0.01,0.02,0.02,FALSE,-0.000258918999413451,0.195,-0.000827190260536938,0.000448690201035209,"indeterminate","C1_M2_T4"
0.02,0.02,0.02,FALSE,-0.000671888362203347,0.007,-0.00118970749372911,0.000331410762356321,"indeterminate","C1_M2_T4"
0.05,0.02,0.02,FALSE,-0.00616578480989701,0,-0.00781883557374416,-0.00408743192356549,"rejected","C1_M2_T4"
0,0.05,0.02,FALSE,-0.000277742485810482,0.11,-0.00080029567915321,0.000506261219621398,"indeterminate","C1_M2_T4"
0.0025,0.05,0.02,FALSE,-0.000285213911951968,0.084,-0.000763925907968484,0.000600346679152988,"indeterminate","C1_M2_T4"
0.005,0.05,0.02,FALSE,-0.000292760807044379,0.069,-0.000727555664683654,0.000697003433045578,"indeterminate","C1_M2_T4"
0.01,0.05,0.02,FALSE,-0.00035647195705412,0.024,-0.000696182998521792,0.000848286670996135,"indeterminate","C1_M2_T4"
0.02,0.05,0.02,FALSE,-0.000992031537080753,0.001,-0.0014770354065421,0.000277758499902931,"indeterminate","C1_M2_T4"
0.05,0.05,0.02,FALSE,-0.00727905621138954,0,-0.00926500018401741,-0.00509349328989766,"rejected","C1_M2_T4"
0,0,0.05,FALSE,-0.00969165681567494,0,-0.0127617634518848,-0.00693732780430488,"rejected","C1_M2_T4"
0.0025,0,0.05,FALSE,-0.00970794612185039,0,-0.0127865497652036,-0.00694575069061377,"rejected","C1_M2_T4"
0.005,0,0.05,FALSE,-0.00972439996647206,0,-0.0128115837527867,-0.00695425865658234,"rejected","C1_M2_T4"
0.01,0,0.05,FALSE,-0.00975781134483646,0,-0.0128624047636933,-0.00697153503645729,"rejected","C1_M2_T4"
0.02,0,0.05,FALSE,-0.00982672231271305,0,-0.0129672230986882,-0.00700716756994938,"rejected","C1_M2_T4"
0.05,0,0.05,FALSE,-0.0100518314744432,0,-0.0132048400293855,-0.00712356717935688,"rejected","C1_M2_T4"
0,0.0025,0.05,FALSE,-0.00981927453092782,0,-0.0129010259467383,-0.00706389194985218,"rejected","C1_M2_T4"
0.0025,0.0025,0.05,FALSE,-0.00983585519863481,0,-0.0129261254745123,-0.00707259975723228,"rejected","C1_M2_T4"
0.005,0.0025,0.05,FALSE,-0.00985260334783379,0,-0.0129514785328699,-0.00708139552226268,"rejected","C1_M2_T4"
0.01,0.0025,0.05,FALSE,-0.00988661234467661,0,-0.0130029607636165,-0.00709925631043666,"rejected","C1_M2_T4"
0.02,0.0025,0.05,FALSE,-0.00995675590066493,0,-0.0131091428645313,-0.00713609418604549,"rejected","C1_M2_T4"
0.05,0.0025,0.05,FALSE,-0.0101858915168934,0,-0.0133441013841274,-0.00725643124636767,"rejected","C1_M2_T4"
0,0.005,0.05,FALSE,-0.00994818131401154,0,-0.013041355495651,-0.00719173452111208,"rejected","C1_M2_T4"
0.0025,0.005,0.05,FALSE,-0.00996505628629584,0,-0.0130669166681707,-0.00720073012755401,"rejected","C1_M2_T4"
0.005,0.005,0.05,FALSE,-0.00998210171284563,0,-0.0130927360343521,-0.00720981659870747,"rejected","C1_M2_T4"
0.01,0.005,0.05,FALSE,-0.0100167143647172,0,-0.0131449365211147,-0.0072282676982946,"rejected","C1_M2_T4"
0.02,0.005,0.05,FALSE,-0.0100881029592022,0,-0.0132524961633626,-0.00726632309119308,"rejected","C1_M2_T4"
0.05,0.005,0.05,FALSE,-0.0103213057011866,0,-0.0134789995044027,-0.0073906373746614,"rejected","C1_M2_T4"
0,0.01,0.05,FALSE,-0.0102099410061917,0,-0.0133003336700285,-0.00745117438746602,"rejected","C1_M2_T4"
0.0025,0.01,0.05,FALSE,-0.0102274135969545,0,-0.0133264634064723,-0.00746024995717943,"rejected","C1_M2_T4"
0.005,0.01,0.05,FALSE,-0.010245062678533,0,-0.0133528570796479,-0.00746941719931418,"rejected","C1_M2_T4"
0.01,0.01,0.05,FALSE,-0.0102809011196975,0,-0.013406452395586,-0.00748803231344496,"rejected","C1_M2_T4"
0.02,0.01,0.05,FALSE,-0.0103548179045993,0,-0.0135169927347084,-0.00752642598633969,"rejected","C1_M2_T4"
0.05,0.01,0.05,FALSE,-0.0105962794019451,0,-0.0137972174412352,-0.00765191364339641,"rejected","C1_M2_T4"
0,0.02,0.05,FALSE,-0.0107498203713134,0,-0.0138591659265351,-0.00793023102598522,"rejected","C1_M2_T4"
0.0025,0.02,0.05,FALSE,-0.0107685255501879,0,-0.0138856049553532,-0.00794211577638539,"rejected","C1_M2_T4"
0.005,0.02,0.05,FALSE,-0.0107874196702631,0,-0.0139123110450685,-0.00795412057476939,"rejected","C1_M2_T4"
0.01,0.02,0.05,FALSE,-0.0108257863018443,0,-0.0139665407578576,-0.00797849766536549,"rejected","C1_M2_T4"
0.02,0.02,0.05,FALSE,-0.0109049174794807,0,-0.0140783562338875,-0.00802877541471994,"rejected","C1_M2_T4"
