"alpha","eta","delta","compatible","minimum_canonical_coordinate","negative_coordinate_count","observable_witness_bits","conditional_entropy_y_given_t_c_bits","sharp_lower_bits","sharp_upper_bits","lower_minus_witness_bits","design_id"
0.0025,0.0025,0.0025,TRUE,0.000137793900147496,0,0.00931938944898363,0.344913562819948,0.00963360390496068,0.319701696927014,0.000314214455977058,"age2_M2_T4"
0.005,0.0025,0.0025,TRUE,0.000103447157921316,0,0.00931938944898363,0.344913562819948,0.00963360390496068,0.299498870486154,0.000314214455977058,"age2_M2_T4"
0.01,0.0025,0.0025,FALSE,-2.77872909517378e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.0025,0.0025,FALSE,-0.0015220219418071,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.0025,0.0025,FALSE,-0.0109302074939427,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.005,0.0025,TRUE,0.000167998866528627,0,0.00931938944898363,0.344913562819948,0.00981842562190703,0.344913562819948,0.000499036172923403,"age2_M2_T4"
0.0025,0.005,0.0025,TRUE,0.000134364449794216,0,0.00931938944898363,0.344913562819948,0.00981842562190703,0.319701696927014,0.000499036172923403,"age2_M2_T4"
0.005,0.005,0.0025,TRUE,0.000100390291476628,0,0.00931938944898363,0.344913562819948,0.00981842562190703,0.299498870486154,0.000499036172923403,"age2_M2_T4"
0.01,0.005,0.0025,FALSE,-3.07680321206248e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.005,0.0025,FALSE,-0.00152757721397344,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.005,0.0025,FALSE,-0.0109455349089029,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.01,0.0025,TRUE,0.000160285974935417,0,0.00931938944898363,0.344913562819948,0.0102189701758312,0.344913562819948,0.00089958072684757,"age2_M2_T4"
0.0025,0.01,0.0025,TRUE,0.000127400565913574,0,0.00931938944898363,0.344913562819948,0.0102189701758312,0.319701696927014,0.00089958072684757,"age2_M2_T4"
